delta_SDQ,delta_OPC_team,delta_FFS,delta_TOV_penalty,weight_SDQ,weight_OPC_team,weight_FFS,weight_TOV_penalty,correlation_with_WEVv3
0.0500,0.0000,0.0500,-0.0500,0.3500,0.2500,0.3000,-0.2500,0.8366
0.0500,0.0000,0.0500,0.0000,0.3500,0.2500,0.3000,-0.2000,0.8219
0.0500,0.0000,0.0500,0.0500,0.3500,0.2500,0.3000,-0.1500,0.8024
0.0500,0.0500,-0.0500,-0.0500,0.3500,0.3000,0.2000,-0.2500,0.8023
0.0500,0.0500,-0.0500,0.0000,0.3500,0.3000,0.2000,-0.2000,0.7898
0.0500,0.0500,-0.0500,0.0500,0.3500,0.3000,0.2000,-0.1500,0.7721
0.0500,0.0500,0.0000,-0.0500,0.3500,0.3000,0.2500,-0.2500,0.8078
0.0500,0.0500,0.0000,0.0000,0.3500,0.3000,0.2500,-0.2000,0.7936
0.0500,0.0500,0.0000,0.0500,0.3500,0.3000,0.2500,-0.1500,0.7746
0.0500,0.0500,0.0500,-0.0500,0.3500,0.3000,0.3000,-0.2500,0.8102
0.0500,0.0500,0.0500,0.0000,0.3500,0.3000,0.3000,-0.2000,0.7947
0.0500,0.0500,0.0500,0.0500,0.3500,0.3000,0.3000,-0.1500,0.7749
