delta_SDQ,delta_OPC_team,delta_FFS,delta_TOV_penalty,weight_SDQ,weight_OPC_team,weight_FFS,weight_TOV_penalty,correlation_with_WEVv3
0.0000,-0.1500,0.1500,0.0000,0.3000,0.1000,0.4000,-0.2000,0.8659
0.0000,-0.1500,0.1500,0.1500,0.3000,0.1000,0.4000,-0.0500,0.7878
0.0000,0.0000,-0.1500,-0.1500,0.3000,0.2500,0.1000,-0.3500,0.7829
0.0000,0.0000,-0.1500,0.0000,0.3000,0.2500,0.1000,-0.2000,0.7874
0.0000,0.0000,-0.1500,0.1500,0.3000,0.2500,0.1000,-0.0500,0.7236
0.0000,0.0000,0.0000,-0.1500,0.3000,0.2500,0.2500,-0.3500,0.8342
0.0000,0.0000,0.0000,0.0000,0.3000,0.2500,0.2500,-0.2000,0.8100
0.0000,0.0000,0.0000,0.1500,0.3000,0.2500,0.2500,-0.0500,0.7334
0.0000,0.0000,0.1500,-0.1500,0.3000,0.2500,0.4000,-0.3500,0.8446
0.0000,0.0000,0.1500,0.0000,0.3000,0.2500,0.4000,-0.2000,0.8029
0.0000,0.0000,0.1500,0.1500,0.3000,0.2500,0.4000,-0.0500,0.7257
0.0000,0.1500,-0.1500,-0.1500,0.3000,0.4000,0.1000,-0.3500,0.6947
0.0000,0.1500,-0.1500,0.0000,0.3000,0.4000,0.1000,-0.2000,0.6704
0.0000,0.1500,-0.1500,0.1500,0.3000,0.4000,0.1000,-0.0500,0.6024
0.0000,0.1500,0.0000,-0.1500,0.3000,0.4000,0.2500,-0.3500,0.7500
0.0000,0.1500,0.0000,0.0000,0.3000,0.4000,0.2500,-0.2000,0.7121
0.0000,0.1500,0.0000,0.1500,0.3000,0.4000,0.2500,-0.0500,0.6396
0.0000,0.1500,0.1500,-0.1500,0.3000,0.4000,0.4000,-0.3500,0.7727
0.0000,0.1500,0.1500,0.0000,0.3000,0.4000,0.4000,-0.2000,0.7260
0.0000,0.1500,0.1500,0.1500,0.3000,0.4000,0.4000,-0.0500,0.6546
0.1500,-0.1500,-0.1500,-0.1500,0.4500,0.1000,0.1000,-0.3500,0.8816
0.1500,-0.1500,-0.1500,0.0000,0.4500,0.1000,0.1000,-0.2000,0.9013
0.1500,-0.1500,-0.1500,0.1500,0.4500,0.1000,0.1000,-0.0500,0.8652
0.1500,-0.1500,0.0000,-0.1500,0.4500,0.1000,0.2500,-0.3500,0.9102
0.1500,-0.1500,0.0000,0.0000,0.4500,0.1000,0.2500,-0.2000,0.9005
0.1500,-0.1500,0.0000,0.1500,0.4500,0.1000,0.2500,-0.0500,0.8460
0.1500,-0.1500,0.1500,-0.1500,0.4500,0.1000,0.4000,-0.3500,0.9086
0.1500,-0.1500,0.1500,0.0000,0.4500,0.1000,0.4000,-0.2000,0.8805
0.1500,-0.1500,0.1500,0.1500,0.4500,0.1000,0.4000,-0.0500,0.8199
0.1500,0.0000,-0.1500,-0.1500,0.4500,0.2500,0.1000,-0.3500,0.8353
0.1500,0.0000,-0.1500,0.0000,0.4500,0.2500,0.1000,-0.2000,0.8322
0.1500,0.0000,-0.1500,0.1500,0.4500,0.2500,0.1000,-0.0500,0.7825
0.1500,0.0000,0.0000,-0.1500,0.4500,0.2500,0.2500,-0.3500,0.8644
0.1500,0.0000,0.0000,0.0000,0.4500,0.2500,0.2500,-0.2000,0.8415
0.1500,0.0000,0.0000,0.1500,0.4500,0.2500,0.2500,-0.0500,0.7822
0.1500,0.0000,0.1500,-0.1500,0.4500,0.2500,0.4000,-0.3500,0.8675
0.1500,0.0000,0.1500,0.0000,0.4500,0.2500,0.4000,-0.2000,0.8324
0.1500,0.0000,0.1500,0.1500,0.4500,0.2500,0.4000,-0.0500,0.7708
0.1500,0.1500,-0.1500,-0.1500,0.4500,0.4000,0.1000,-0.3500,0.7645
0.1500,0.1500,-0.1500,0.0000,0.4500,0.4000,0.1000,-0.2000,0.7438
0.1500,0.1500,-0.1500,0.1500,0.4500,0.4000,0.1000,-0.0500,0.6893
0.1500,0.1500,0.0000,-0.1500,0.4500,0.4000,0.2500,-0.3500,0.7985
0.1500,0.1500,0.0000,0.0000,0.4500,0.4000,0.2500,-0.2000,0.7665
0.1500,0.1500,0.0000,0.1500,0.4500,0.4000,0.2500,-0.0500,0.7075
0.1500,0.1500,0.1500,-0.1500,0.4500,0.4000,0.4000,-0.3500,0.8103
0.1500,0.1500,0.1500,0.0000,0.4500,0.4000,0.4000,-0.2000,0.7711
0.1500,0.1500,0.1500,0.1500,0.4500,0.4000,0.4000,-0.0500,0.7117
